base_name,perc_artificial
img_00311_p03_2019,3.67
img_00381_2019,0.00
img_00380_2019,1.42
img_00377_2019,1.08
img_00370_2019,0.00
img_00342_2019,0.04
img_00383_2019,0.00
img_00374_2019,1.00
img_00350_p01_2019,2.19
img_00390_2019,0.27
img_00334_p02_2019,9.35
img_00350_p02_2019,1.35
img_00326_p04_2019,0.00
img_00384_2019,5.92
img_00334_p03_2019,9.66
img_00388_2019,8.76
img_00395_2019,6.35
img_00326_p06_2019,1.51
img_00334_p04_2019,8.35
img_00398_2019,9.58
img_00389_2019,3.05
img_00402_2019,6.07
img_00403_2019,8.28
img_00397_2019,5.03
img_00400_2019,0.00
img_00386_2019,0.00
img_00326_p03_2019,0.66
img_00405_2019,0.00
img_00326_p02_2019,0.26
img_00399_2019,8.29
img_00378_2019,3.26
img_00382_2019,4.15
img_00024_p04_2019,7.72
img_00391_2019,4.22
img_00024_p03_2019,6.49
img_00326_p01_2019,0.10
img_00394_2019,8.33
img_00326_p05_2019,0.67
img_00024_p01_2019,6.43
img_00024_p02_2019,7.81
img_00024_p05_2019,8.35
img_00024_p07_2019,6.85
img_00024_p13_2019,8.70
img_00024_p06_2019,7.74
img_00024_p15_2019,8.11
img_00024_p09_2019,8.28
img_00024_p20_2019,7.58
img_00024_p12_2019,7.83
img_00024_p21_2019,7.90
img_00024_p11_2019,11.17
img_00024_p14_2019,4.85
img_00024_p10_2019,10.29
img_00024_p16_2019,8.79
img_00407_2019,3.91
img_00404_2019,4.72
img_00411_2019,0.50
img_00401_2019,0.00
img_00024_p08_2019,6.68
img_00410_2019,0.00
img_00387_p02_2019,3.22
img_00416_2019,2.32
img_00387_p01_2019,3.78
img_00409_2019,1.67
img_00392_p02_2019,7.91
img_00413_2019,2.96
img_00417_2019,0.00
img_00392_p01_2019,8.29
img_00414_2019,2.16
img_00412_2019,0.20
img_00024_p22_2019,10.89
img_00024_p19_2019,9.25
img_00379_p01_2019,4.52
img_00415_2019,7.19
img_00393_p01_2019,2.27
img_00420_2019,3.58
img_00422_2019,0.00
img_00024_p17_2019,9.84
img_00423_2019,4.17
img_00425_2019,4.06
img_00426_2019,3.03
